FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,
4.070833,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,
4.082074,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,
4.094725,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,
4.105459,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,
4.117842,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,-0.06097560975609757,0.0,-0.06097560975609757,0.1318359375,
4.127858,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.139738,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.1318359375,
4.172361,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.1318359375,
4.18243,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.193208,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
4.202839,-1.0,353.00445556640625,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00445556640625,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
